"MacroTrends Data Download"
"S&P 500 Index: Daily Closing Values"

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


Date,"Closing Value"
1932-11-04,6.8800
1932-11-05,6.9800
1932-11-07,7.2400
1932-11-09,6.9200
1932-11-10,7.4400
1932-11-11,7.6800
1932-11-12,7.6800
1932-11-14,7.4300
1932-11-15,7.4300
1932-11-16,7.2000
1932-11-17,7.1500
1932-11-18,7.1300
1932-11-19,7.2400
1932-11-21,7.2000
1932-11-22,7.1700
1932-11-23,6.8500
1932-11-25,6.7800
1932-11-26,6.8100
1932-11-28,6.8000
1932-11-29,6.7800
1932-11-30,6.5500
1932-12-01,6.7300
1932-12-02,6.4700
1932-12-03,6.4600
1932-12-05,6.5400
1932-12-06,6.8700
1932-12-07,6.8900
1932-12-08,6.8900
1932-12-09,7.0800
1932-12-10,7.0300
1932-12-12,7.0700
1932-12-13,6.9900
1932-12-14,7.1200
1932-12-15,7.0500
1932-12-16,7.0000
1932-12-17,6.9900
1932-12-19,6.9700
1932-12-20,6.8200
1932-12-21,6.8000
1932-12-22,6.5700
1932-12-23,6.5700
1932-12-24,6.6500
1932-12-27,6.6100
1932-12-28,6.6000
1932-12-29,6.7500
1932-12-30,6.9200
1932-12-31,6.8900
1933-01-03,6.8300
1933-01-04,7.1500
1933-01-05,7.1200
1933-01-06,7.2300
1933-01-09,7.1300
1933-01-10,7.3400
1933-01-11,7.3200
1933-01-12,7.2300
1933-01-13,7.2500
1933-01-14,7.2300
1933-01-16,7.0600
1933-01-17,7.0800
1933-01-18,6.9500
1933-01-19,6.9800
1933-01-20,7.0600
1933-01-21,7.1000
1933-01-23,7.0300
1933-01-24,6.9800
1933-01-25,7.1000
